ID,manual_label
1116,irony
384591,sarcastic
54394,multipolarity
665487,sarcastic
6705,negative
11141,sarcastic
703548,sarcastic
206905,sarcastic
78328,negative
1724,sarcastic
91410,negative
6190,sarcastic
7423,sarcastic
36179,positive
8511,sarcastic
751035,sarcastic
17054,neutral
462859,sarcastic
621292,sarcastic
740714,sarcastic
49015,positive
2600,multipolarity
161380,sarcastic
76121,sarcastic
41248,sarcastic
109971,neutral
9755,negation
8224,neutral
9903,irony
67195,negation
15242,positive
3156,sarcastic
64448,multipolarity
115517,multipolarity
12480,negative
48129,sarcastic
183897,sarcastic
22859,multipolarity
159288,sarcastic
49385,positive
641562,sarcastic
32113,sarcastic
204177,sarcastic
719967,sarcastic
3027,irony
129460,negative
14165,negative
730891,sarcastic
11079,
711670,sarcastic
70256,multipolarity
586048,positive
23757,neutral
633887,sarcastic
42469,neutral
342,sarcastic
62291,negation
126247,positive
448459,sarcastic
119823,positive
14955,negative
49698,negative
490159,sarcastic
602484,multipolarity
52664,multipolarity
100686,negative
592101,sarcastic
97633,multipolarity
616269,neutral
42783,positive
79097,neutral
3338,positive
133352,positive
7483,irony
584496,sarcastic
495932,sarcastic
649885,sarcastic
227648,sarcastic
101165,negative
127763,negation
98691,positive
6035,irony
36,positive
4718,sarcastic
63171,neutral
120744,positive
27255,neutral
9227,sarcastic
50820,neutral
66091,neutral
347063,irony
13133,negation
244335,irony
405845,sarcastic
83149,negation
215372,sarcastic
65251,multipolarity
14457,sarcastic
16420,negative
2850,irony
40717,negation
58107,positive
4203,negative
551885,irony
787298,sarcastic
65728,negative
107503,positive
370717,sarcastic
476911,sarcastic
248406,irony
72001,negation
1233,sarcastic
701520,sarcastic
105280,positive
401439,sarcastic
774920,sarcastic
128554,positive
587442,sarcastic
315666,sarcastic
693039,sarcastic
117421,neutral
91340,negation
44031,neutral
115956,positive
74461,multipolarity
45809,multipolarity
48102,neutral
130654,negative
120357,positive
4728,negation
122286,negative
93324,negation
153975,sarcastic
93656,multipolarity
500084,sarcastic
10846,irony
737917,sarcastic
70646,positive
570406,sarcastic
643317,sarcastic
341569,irony
16417,negative
111226,neutral
549266,sarcastic
642231,sarcastic
100147,positive
7919,negative
119349,negative
697363,sarcastic
90547,positive
101665,neutral
48664,negative
787045,irony
32198,sarcastic
23605,multipolarity
105933,neutral
620868,sarcastic
438981,sarcastic
6170,sarcastic
29998,negation
1412,sarcastic
70408,negative
105466,multipolarity
76582,negation
585567,sarcastic
576379,sarcastic
102149,negative
132669,negation
75979,negative
21644,neutral
8143,sarcastic
1651,irony
76839,positive
532011,sarcastic
117772,neutral
78406,positive
674762,irony
52163,negative
517095,sarcastic
42429,negation
58753,neutral
23827,negation
109454,neutral
622692,sarcastic
12615,negation
5767,negative
86474,positive
49607,multipolarity
64887,neutral
99313,positive
130863,negative
749636,sarcastic
35100,negative
19675,multipolarity
68956,neutral
30746,multipolarity
10739,sarcastic
101069,negative
115745,negative
61870,negative
89261,sarcastic
509419,irony
29725,sarcastic
70128,negative
408549,sarcastic
61501,positive
53202,negative
125819,negation
56093,multipolarity
467245,irony
130962,neutral
8693,negation
650897,sarcastic
132223,multipolarity
4327,negation
495987,sarcastic
77223,negation
85083,multipolarity
40128,positive
43875,negative
102852,negative
54737,negative
797760,sarcastic
75242,negative
7016,irony
92982,neutral
124697,negation
1346,negative
248000,sarcastic
4074,irony
7866,multipolarity
117154,negation
365472,irony
79850,negation
431289,sarcastic
128559,negative
42205,positive
407489,irony
103410,negation
116835,neutral
106412,positive
101549,negation
70750,neutral
5507,positive
122681,positive
57793,positive
83730,neutral
123828,negative
387756,irony
10885,sarcastic
47749,negative
119478,negation
9481,irony
694123,sarcastic
437062,sarcastic
660700,irony
129415,multipolarity
112784,positive
594110,sarcastic
448126,irony
92097,multipolarity
32704,positive
261206,irony
87371,neutral
5312,positive
129660,negative
50338,positive
2532,negative
18073,positive
467917,sarcastic
53587,negation
16380,negative
106316,multipolarity
130545,negative
88574,multipolarity
61742,negative
102636,multipolarity
93920,positive
567974,sarcastic
104800,neutral
720359,irony
55910,negation
41737,negative
117336,positive
532527,sarcastic
35730,positive
388904,sarcastic
522509,sarcastic
592086,sarcastic
73672,negative
11019,irony
42585,negative
68485,negation
81945,negation
504652,sarcastic
21250,neutral
83045,positive
45829,positive
32006,sarcastic
100102,multipolarity
43959,negation
69601,multipolarity
18296,positive
33086,sarcastic
4926,positive
112413,negative
62759,negation
511998,irony
76572,multipolarity
709,sarcastic
428452,irony
33217,positive
83206,multipolarity
703746,sarcastic
746439,sarcastic
400639,irony
53283,negation
613839,sarcastic
2164,negative
24179,neutral
98662,positive
11930,positive
12313,negative
70313,multipolarity
9098,positive
495762,sarcastic
88447,positive
38973,multipolarity
129813,positive
341937,irony
15837,negative
97328,negative
51463,negative
10865,neutral
43254,negation
9154,sarcastic
539322,sarcastic
42876,neutral
192832,negation
182400,sarcastic
54859,multipolarity
64268,positive
105305,negative
408706,sarcastic
30082,negation
33368,positive
37236,negative
332412,irony
124444,sarcastic
116962,negative
4530,sarcastic
92703,negative
792699,sarcastic
82485,neutral
39015,neutral
35483,negative
32257,positive
145673,sarcastic
121615,negative
429532,sarcastic
54352,sarcastic
639418,sarcastic
686898,irony
90329,positive
96514,neutral
1109,positive
3433,irony
90762,positive
113848,multipolarity
109565,sarcastic
21138,negation
437013,sarcastic
478,irony
394379,sarcastic
40632,multipolarity
626,sarcastic
115625,negative
12707,negative
114172,sarcastic
96960,neutral
4505,irony
116204,multipolarity
95259,negation
119711,multipolarity
131961,neutral
45159,neutral
686934,sarcastic
63082,negation
798425,sarcastic
486050,sarcastic
94948,positive
96217,negative
652133,sarcastic
400390,sarcastic
768119,sarcastic
71244,negation
124719,negative
84336,negation
24379,negative
59468,positive
113790,positive
305046,sarcastic
89086,positive
31949,positive
26408,multipolarity
37701,positive
111900,irony
9893,sarcastic
540634,irony
9242,sarcastic
26391,positive
62793,neutral
42701,neutral
10755,sarcastic
19301,neutral
88427,neutral
81150,negative
32649,positive
695110,sarcastic
106233,neutral
91564,multipolarity
337165,irony
124858,negation
105856,positive
660693,sarcastic
61528,multipolarity
6840,multipolarity
11479,positive
66765,negation
84379,negative
324324,sarcastic
379698,irony
54456,negative
71794,positive
4363,negative
1144,irony
6565,irony
122676,negative
87023,positive
107311,negative
1390,positive
148736,sarcastic
703266,sarcastic
144760,sarcastic
3986,multipolarity
88301,neutral
112852,negative
4897,neutral
62310,multipolarity
149775,irony
10612,sarcastic
67967,negative
1283,positive
123244,positive
288720,sarcastic
545510,sarcastic
65079,negation
10671,neutral
39288,negation
121376,multipolarity
660546,sarcastic
80256,positive
89395,neutral
614832,sarcastic
216264,sarcastic
28696,negation
2520,sarcastic
98958,negative
17652,positive
51290,sarcastic
216975,sarcastic
53986,negation
234398,sarcastic
43030,multipolarity
64761,neutral
78571,positive
9321,irony
51867,positive
134506,multipolarity
3399,negative
90684,multipolarity
39838,neutral
127377,sarcastic
86197,multipolarity
133631,negation
66234,positive
11900,irony
121082,negative
68081,positive
4467,negative
84470,positive
51848,negative
99627,neutral
123900,negation
122634,negative
29234,positive
38107,negation
753949,sarcastic
80061,negative
389969,sarcastic
