ID,manual_label,sentiment,matching
1116,irony,irony,True
384591,sarcastic,sarcastic,True
665487,sarcastic,sarcastic,True
703548,sarcastic,sarcastic,True
206905,sarcastic,sarcastic,True
1724,sarcastic,irony,False
6190,sarcastic,irony,False
7423,sarcastic,irony,False
8511,sarcastic,irony,False
751035,sarcastic,sarcastic,True
462859,sarcastic,sarcastic,True
621292,sarcastic,sarcastic,True
740714,sarcastic,sarcastic,True
161380,sarcastic,sarcastic,True
76121,sarcastic,sarcastic,True
41248,sarcastic,sarcastic,True
9903,irony,irony,True
67195,negation,multipolarity,False
3156,sarcastic,sarcastic,True
48129,sarcastic,sarcastic,True
183897,sarcastic,sarcastic,True
159288,sarcastic,sarcastic,True
641562,sarcastic,sarcastic,True
32113,sarcastic,sarcastic,True
204177,sarcastic,sarcastic,True
719967,sarcastic,sarcastic,True
3027,irony,irony,True
730891,sarcastic,sarcastic,True
11079,,irony,False
711670,sarcastic,sarcastic,True
586048,positive,sarcastic,False
633887,sarcastic,sarcastic,True
342,sarcastic,irony,False
448459,sarcastic,sarcastic,True
490159,sarcastic,sarcastic,True
602484,multipolarity,sarcastic,False
592101,sarcastic,sarcastic,True
616269,neutral,sarcastic,False
7483,irony,irony,True
584496,sarcastic,sarcastic,True
495932,sarcastic,sarcastic,True
649885,sarcastic,sarcastic,True
227648,sarcastic,sarcastic,True
6035,irony,irony,True
4718,sarcastic,irony,False
9227,sarcastic,irony,False
347063,irony,sarcastic,False
244335,irony,sarcastic,False
405845,sarcastic,sarcastic,True
215372,sarcastic,sarcastic,True
14457,sarcastic,sarcastic,True
2850,irony,irony,True
551885,irony,sarcastic,False
787298,sarcastic,sarcastic,True
370717,sarcastic,sarcastic,True
476911,sarcastic,sarcastic,True
248406,irony,sarcastic,False
1233,sarcastic,irony,False
701520,sarcastic,sarcastic,True
401439,sarcastic,sarcastic,True
774920,sarcastic,sarcastic,True
587442,sarcastic,sarcastic,True
315666,sarcastic,sarcastic,True
693039,sarcastic,sarcastic,True
4728,negation,irony,False
153975,sarcastic,sarcastic,True
500084,sarcastic,sarcastic,True
737917,sarcastic,sarcastic,True
570406,sarcastic,sarcastic,True
643317,sarcastic,sarcastic,True
341569,irony,sarcastic,False
549266,sarcastic,sarcastic,True
642231,sarcastic,sarcastic,True
697363,sarcastic,sarcastic,True
787045,irony,sarcastic,False
32198,sarcastic,sarcastic,True
620868,sarcastic,sarcastic,True
438981,sarcastic,sarcastic,True
6170,sarcastic,irony,False
1412,sarcastic,irony,False
585567,sarcastic,sarcastic,True
576379,sarcastic,sarcastic,True
8143,sarcastic,irony,False
1651,irony,irony,True
532011,sarcastic,sarcastic,True
674762,irony,sarcastic,False
517095,sarcastic,sarcastic,True
622692,sarcastic,sarcastic,True
749636,sarcastic,sarcastic,True
10739,sarcastic,sarcastic,True
89261,sarcastic,sarcastic,True
509419,irony,sarcastic,False
29725,sarcastic,sarcastic,True
408549,sarcastic,sarcastic,True
467245,irony,sarcastic,False
8693,negation,irony,False
650897,sarcastic,sarcastic,True
4327,negation,irony,False
495987,sarcastic,sarcastic,True
797760,sarcastic,sarcastic,True
7016,irony,irony,True
248000,sarcastic,sarcastic,True
4074,irony,irony,True
365472,irony,sarcastic,False
431289,sarcastic,sarcastic,True
407489,irony,sarcastic,False
387756,irony,sarcastic,False
9481,irony,irony,True
694123,sarcastic,sarcastic,True
437062,sarcastic,sarcastic,True
660700,irony,sarcastic,False
594110,sarcastic,sarcastic,True
448126,irony,sarcastic,False
261206,irony,sarcastic,False
467917,sarcastic,sarcastic,True
567974,sarcastic,sarcastic,True
720359,irony,sarcastic,False
532527,sarcastic,sarcastic,True
388904,sarcastic,sarcastic,True
522509,sarcastic,sarcastic,True
592086,sarcastic,sarcastic,True
11019,irony,sarcastic,False
504652,sarcastic,sarcastic,True
32006,sarcastic,sarcastic,True
33086,sarcastic,sarcastic,True
511998,irony,sarcastic,False
709,sarcastic,irony,False
428452,irony,sarcastic,False
703746,sarcastic,sarcastic,True
746439,sarcastic,sarcastic,True
400639,irony,sarcastic,False
613839,sarcastic,sarcastic,True
495762,sarcastic,sarcastic,True
341937,irony,sarcastic,False
9154,sarcastic,irony,False
539322,sarcastic,sarcastic,True
192832,negation,sarcastic,False
182400,sarcastic,sarcastic,True
408706,sarcastic,sarcastic,True
332412,irony,sarcastic,False
124444,sarcastic,sarcastic,True
4530,sarcastic,irony,False
792699,sarcastic,sarcastic,True
39015,neutral,neutral,True
32257,positive,neutral,False
145673,sarcastic,sarcastic,True
429532,sarcastic,sarcastic,True
54352,sarcastic,sarcastic,True
639418,sarcastic,sarcastic,True
686898,irony,sarcastic,False
1109,positive,irony,False
3433,irony,irony,True
109565,sarcastic,sarcastic,True
437013,sarcastic,sarcastic,True
478,irony,irony,True
394379,sarcastic,sarcastic,True
626,sarcastic,irony,False
114172,sarcastic,sarcastic,True
4505,irony,irony,True
686934,sarcastic,sarcastic,True
798425,sarcastic,sarcastic,True
486050,sarcastic,sarcastic,True
652133,sarcastic,sarcastic,True
400390,sarcastic,sarcastic,True
768119,sarcastic,sarcastic,True
305046,sarcastic,sarcastic,True
111900,irony,sarcastic,False
9893,sarcastic,sarcastic,True
540634,irony,sarcastic,False
9242,sarcastic,irony,False
19301,neutral,multipolarity,False
695110,sarcastic,sarcastic,True
337165,irony,sarcastic,False
660693,sarcastic,sarcastic,True
324324,sarcastic,sarcastic,True
379698,irony,sarcastic,False
1144,irony,irony,True
6565,irony,irony,True
148736,sarcastic,sarcastic,True
703266,sarcastic,sarcastic,True
144760,sarcastic,sarcastic,True
149775,irony,sarcastic,False
288720,sarcastic,sarcastic,True
545510,sarcastic,sarcastic,True
660546,sarcastic,sarcastic,True
614832,sarcastic,sarcastic,True
216264,sarcastic,sarcastic,True
2520,sarcastic,irony,False
51290,sarcastic,sarcastic,True
216975,sarcastic,sarcastic,True
234398,sarcastic,sarcastic,True
9321,irony,irony,True
121082,negative,neutral,False
99627,neutral,neutral,True
753949,sarcastic,sarcastic,True
389969,sarcastic,sarcastic,True
